Placemark Name        | Longitude         | Latitude          | Altitude
----------------------|-------------------|-------------------|-----------------
inicial               | 12.68806933735892 | 50.79176536132668 | 330.9769986160285
Marcador sin título   | 12.69181264026193 | 50.79333860742232 | 335.518300789748
Marcador sin título   | 12.6923337711424  | 50.79324285282432 | 334.5677473700879
Marcador sin título   | 12.6924548179506  | 50.79284276245513 | 331.5663175396471
Marcador sin título   | 12.6917787731443  | 50.79216330544996 | 328.0204529791458
Marcador sin título   | 12.6920638329247  | 50.79146510679245 | 324.1862701536473
Marcador sin título   | 12.69313858990349 | 50.7910870662244  | 317.254748045503
Marcador sin título   | 12.69304473211175 | 50.79045715534304 | 314.7827123580818
Marcador sin título   | 12.69219010675903 | 50.79054543026174 | 317.3521910062796
Marcador sin título   | 12.69170259782964 | 50.79129237891836 | 324.7342519490529
Marcador sin título   | 12.69060350554998 | 50.79163494453566 | 330.2893863185779
Marcador sin título   | 12.68952790241969 | 50.79115216190096 | 334.7728659216579
Marcador sin título   | 12.69026225624556 | 50.78989670235472 | 325.6256818888209
Marcador sin título   | 12.69143353043994 | 50.78950007499506 | 319.5759390187782
Marcador sin título   | 12.69286467636916 | 50.78975609388839 | 312.7040709982618
Marcador sin título   | 12.69553469926564 | 50.79145652884571 | 314.0169093370825
Marcador sin título   | 12.69403418458663 | 50.79342114526214 | 333.394923821135
Marcador sin título   | 12.69226890849724 | 50.79384309055703 | 337.1767218330701
Marcador sin título   | 12.6896048312526  | 50.79289950535738 | 334.0722355090545
Marcador sin título   | 12.68267891674745 | 50.79311116849347 | 304.5250482717951
Marcador sin título   | 12.68199648903093 | 50.79278950040068 | 305.6746354540645
Marcador sin título   | 12.68178573740153 | 50.79228141142377 | 306.390728596108
Marcador sin título   | 12.68290344976915 | 50.78983029430764 | 311.5819465324745
Marcador sin título   | 12.6837746866335  | 50.7899238008232  | 318.7914853793927
